bNum,geneName,replicate,genotype,time,intensity,batch
b0047,kefC,A,wt,240,47.98174329526163,long
b0047,kefC,A,wt,300,60.084529540826146,long
b0047,kefC,B,wt,0,25.949509780913097,long
b0047,kefC,B,wt,90,18.76153115721299,long
b0047,kefC,B,wt,120,26.823350545429424,long
b0047,kefC,B,wt,180,51.98904010892592,long
b0047,kefC,B,wt,240,49.4954989896634,long
b0047,kefC,B,wt,300,37.463594431210666,long
b0047,kefC,C,wt,0,23.201018246574048,long
b0047,kefC,C,wt,90,19.7897038133585,long
b0047,kefC,C,wt,120,27.743181787746472,long
b0047,kefC,C,wt,180,36.07814336254206,long
b0047,kefC,C,wt,240,41.35204974929952,long
b0047,kefC,C,wt,300,34.9719386927522,long
b0047,kefC,D,wt,0,20.703016639972997,long
b0047,kefC,D,wt,90,21.439446768421547,long
b0047,kefC,D,wt,120,26.805342224549022,long
b0047,kefC,D,wt,180,34.757167563164685,long
b0047,kefC,D,wt,240,50.33249412006857,long
b0047,kefC,D,wt,300,49.50373980737961,long
b0047,kefC,E,wt,0,55.2689277474177,short
b0047,kefC,E,wt,30,26.585618853599684,short
b0047,kefC,E,wt,60,7.59493972518207,short
b0047,kefC,E,wt,90,7.59493972518207,short
b0047,kefC,E,wt,120,30.78558886930915,short
b0047,kefC,E,wt,150,31.77890933813645,short
b0047,kefC,F,wt,0,38.51713620386227,short
b0047,kefC,F,wt,30,27.904001967179067,short
b0047,kefC,F,wt,60,24.546486358834674,short
b0047,kefC,F,wt,90,7.59493972518207,short
b0047,kefC,F,wt,120,24.7238644053894,short
b0047,kefC,F,wt,150,44.55531509573514,short
b0047,kefC,G,wt,0,62.605512930558845,short
b0047,kefC,G,wt,30,38.75995303410542,short
b0047,kefC,G,wt,60,22.92593136144553,short
b0047,kefC,G,wt,90,13.705459894717299,short
b0047,kefC,G,wt,120,26.430788844479768,short
b0047,kefC,G,wt,150,39.74329293901043,short
b0116,lpd,A,wt,0,4332.878795852772,long
b0116,lpd,A,wt,90,2343.676390678837,long
b0116,lpd,A,wt,120,2114.422857417589,long
b0116,lpd,A,wt,180,1305.7910488902883,long
b0116,lpd,A,wt,240,1004.1146566961041,long
b0116,lpd,A,wt,300,1563.1553753518986,long
