bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold
b0131,panD,GeneID:945686,4.563730359011587e-4,2.5761794428419295e-8,0.9519064742467188,TRUE,TRUE,FALSE
b0132,rpnC,GeneID:944781,0.055049789721571506,0.6757385017594786,1,FALSE,FALSE,FALSE
b0133,panC,GeneID:944958,2.4480440681555133e-5,0.8662350889751167,1,TRUE,FALSE,FALSE
b0135,yadC,GeneID:944837,0.37929835027003383,0.03595729389174229,0.6586405531661252,FALSE,FALSE,FALSE
b0136,yadK,GeneID:944835,0.16991468944910817,0.07322135265867004,0.9091634337012949,FALSE,FALSE,FALSE
b0137,yadL,GeneID:944829,0.8141275097456797,NA,1,FALSE,NA,FALSE
b0138,yadM,GeneID:944828,0.350076403116532,NA,1,FALSE,NA,FALSE
b0139,htrE,GeneID:944819,0.9384291706512364,0.057678486462644174,1,FALSE,FALSE,FALSE
b0141,yadN,GeneID:944841,0.0777085763540182,0.34514008891820686,1,FALSE,FALSE,FALSE
b0142,folK,GeneID:948792,0.7023575511900386,0.5208500610924328,1,FALSE,FALSE,FALSE
b0143,pcnB,GeneID:947318,0.9999983765053103,0.37470015686446295,1,FALSE,FALSE,FALSE
b0144,gluQ,GeneID:944846,0.31946921212690066,0.16377655780715308,0.037199228212717136,FALSE,FALSE,FALSE
b0146,sfsA,GeneID:944855,2.8373146703386624e-6,7.984792185374228e-4,1.0406943639424487e-12,TRUE,TRUE,TRUE
b0147,thpR,GeneID:944848,0.06017948379327671,0.40929868110678214,0.9603386349833919,FALSE,FALSE,FALSE
b0148,hrpB,GeneID:944845,1.5978776762466147e-4,0.5360938770119729,1,TRUE,FALSE,FALSE
b0149,mrcB,GeneID:944843,0.002372056216212699,0.04729985512897246,1,TRUE,FALSE,FALSE
b0150,fhuA,GeneID:944856,9.950643327209159e-4,0.7377001641376114,1,TRUE,FALSE,FALSE
b0151,fhuC,GeneID:945250,0.0025238972329052764,0.9461302840225037,1,TRUE,FALSE,FALSE
b0152,fhuD,GeneID:947510,8.90053910270617e-4,0.7413820143241422,1,TRUE,FALSE,FALSE
b0153,fhuB,GeneID:946890,4.7413531584123195e-4,0.8330080508767046,0.934830918356948,TRUE,FALSE,FALSE
b0154,hemL,GeneID:946892,0.5238133546961299,0.02907935377925091,0.8649466634366235,FALSE,FALSE,FALSE
b0155,clcA,GeneID:946715,1.539941381155132e-10,1.1303745483542792e-4,2.7611950117249545e-4,TRUE,TRUE,TRUE
b0156,erpA,GeneID:944857,6.1691592327693995e-6,0.4652420425372541,0.5671179451140518,TRUE,FALSE,FALSE
b0157,yadS,GeneID:949062,0.0548905017054798,0.6269892136547643,0.20408975322065556,FALSE,FALSE,FALSE
b0158,btuF,GeneID:947574,0.0035628928518137374,0.5766072443652476,1,TRUE,FALSE,FALSE
b0159,mtn,GeneID:948542,8.036696390401105e-4,0.44461750917433396,1,TRUE,FALSE,FALSE
b0160,dgt,GeneID:947177,0.001182886150586196,0.21457737670048363,1,TRUE,FALSE,FALSE
b0161,degP,GeneID:947139,7.315018599829484e-10,1.2210145010805635e-5,0.7221459307604675,TRUE,TRUE,FALSE
b0162,cdaR,GeneID:944860,0.11126334645995936,0.0278339570283282,1,FALSE,FALSE,FALSE
b0163,yaeH,GeneID:947044,0.9656025381070962,0.8622218592568776,0.9803868660693672,FALSE,FALSE,FALSE
b0164,yaeI,GeneID:945002,0.018922661790009766,0.8234773859054739,0.9091634337012949,FALSE,FALSE,FALSE
b0166,dapD,GeneID:944862,1.9547725043850276e-8,0.004812190955345138,1,TRUE,TRUE,FALSE
b0167,glnD,GeneID:944863,0.384738644411562,0.1975630625848653,1,FALSE,FALSE,FALSE
b0168,map,GeneID:947882,0.40959301207460425,3.438664511916062e-4,0.9776781308723018,FALSE,TRUE,FALSE
b0169,rpsB,GeneID:947874,0.3251531148484671,0.009651146805451922,0.35172839115921384,FALSE,TRUE,FALSE
b0170,tsf,GeneID:944866,0.1610179193716077,0.0038090967544689856,0.6235497223438046,FALSE,TRUE,FALSE
b0171,pyrH,GeneID:944989,0.9882777812941266,0.11779893114254601,1,FALSE,FALSE,FALSE
b0172,frr,GeneID:946122,0.7869118472071669,0.009405756259251458,1,FALSE,TRUE,FALSE
b0173,dxr,GeneID:945019,0.6019192278649806,0.08742687343864392,1,FALSE,FALSE,FALSE
b0174,ispU,GeneID:944874,8.731596727640411e-6,0.41609551250573695,0.8494772037629112,TRUE,FALSE,FALSE
b0175,cdsA,GeneID:944876,0.0039935468333680835,0.4003708815297051,1,TRUE,FALSE,FALSE
b0176,rseP,GeneID:944871,1.1476913241311081e-6,0.17373467397295822,1,TRUE,FALSE,FALSE
b0177,bamA,GeneID:944870,1.2513504502386115e-4,0.9461602641135797,1,TRUE,FALSE,FALSE
b0178,skp,GeneID:944861,0.3963699705327648,0.8166561200149923,1,FALSE,FALSE,FALSE
b0179,lpxD,GeneID:944882,0.10169211185850498,0.5424421038645283,1,FALSE,FALSE,FALSE
b0180,fabZ,GeneID:944888,0.5010330984770807,0.8586593036928895,0.9988397882414046,FALSE,FALSE,FALSE
