bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold,onset_sp,onset_osmo,onset_cold
b0982,etp,GeneID:945236,0.41839404361721505,NA,0.8085680537980143,FALSE,NA,FALSE,NA,NA,NA
b0983,gfcE,GeneID:945586,0.9034504759721635,NA,0.8783817200846401,FALSE,NA,FALSE,NA,NA,NA
b0984,gfcD,GeneID:945588,0.779817775757326,NA,0.8899878546965471,FALSE,NA,FALSE,NA,NA,NA
b0985,gfcC,GeneID:944978,0.954934787818612,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0986,gfcB,GeneID:949118,0.9999983765053104,NA,0.8765403642209153,FALSE,NA,FALSE,NA,NA,NA
b0987,gfcA,GeneID:945029,0.979450780651864,0.1579958501392383,1,FALSE,FALSE,FALSE,NA,NA,NA
b0989,cspH,GeneID:945590,0.32851226218322477,0.7320007655850147,1,FALSE,FALSE,FALSE,NA,NA,NA
b0990,cspG,GeneID:945591,4.239944688846665e-4,0.2732028143845391,1,TRUE,FALSE,FALSE,204.7059,NA,NA
b0991,ymcE,GeneID:946951,0.12952351227091397,0.45974221110496266,0.9091634337012948,FALSE,FALSE,FALSE,NA,NA,NA
b0992,yccM,GeneID:946295,0.03373260167782885,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0993,torS,GeneID:945595,0.0382767991963831,0.6269892136547643,1,FALSE,FALSE,FALSE,NA,NA,NA
b0994,torT,GeneID:946289,0.02000660127000133,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0995,torR,GeneID:946182,9.868060319984102e-4,0.7924637490258505,1,TRUE,FALSE,FALSE,NA,NA,NA
b0996,torC,GeneID:946252,0.7261419341807616,NA,0.8958810210128073,FALSE,NA,FALSE,NA,NA,NA
b0997,torA,GeneID:946267,0.10447682648355149,NA,1,FALSE,NA,FALSE,NA,NA,NA
b0998,torD,GeneID:945625,0.4480664419126953,0.422324515575176,1,FALSE,FALSE,FALSE,NA,NA,NA
b0999,cbpM,GeneID:945597,2.736998763603104e-7,0.07397562854644946,0.00380692308863301,TRUE,FALSE,TRUE,126.5787,NA,NA
b1000,cbpA,GeneID:947572,3.298334314555004e-26,0.01403633195722956,2.107071292976949e-13,TRUE,FALSE,TRUE,217.5209,NA,NA
b1001,yccE,GeneID:947468,0.00436927358541283,0.17638810366884863,1,TRUE,FALSE,FALSE,NA,NA,NA
b1002,agp,GeneID:945773,0.13192379869220333,0.6660213492476645,1,FALSE,FALSE,FALSE,NA,NA,NA
b1003,yccJ,GeneID:948930,6.422139622828478e-10,3.34289572432495e-4,6.179427128662199e-16,TRUE,TRUE,TRUE,97.42388,38.463,143.4418
b1004,wrbA,GeneID:947263,3.394236641329311e-18,3.552344331369917e-7,1.455262388141192e-16,TRUE,TRUE,TRUE,95.54292,34.96715,116.9494
b1006,rutG,GeneID:946589,0.9567437197746425,0.25391649884777406,0.9468912049483468,FALSE,FALSE,FALSE,NA,NA,NA
b1013,rutR,GeneID:945075,0.12113978008030749,0.4104565279145593,1,FALSE,FALSE,FALSE,NA,NA,NA
b1014,putA,GeneID:945600,0.0146780700544311,4.7414839396830686e-5,1,FALSE,TRUE,FALSE,NA,92.19752,NA
b1015,putP,GeneID:945602,0.00582479712431341,0.00227129938521023,0.9084613325036384,TRUE,TRUE,FALSE,94.25195,94.15301,NA
b1018,efeO,GeneID:945603,0.00619792141572517,0.8267302351231595,1,TRUE,FALSE,FALSE,178.1732,NA,NA
b1019,efeB,GeneID:946500,0.09995795765727523,0.5453698540355744,1,FALSE,FALSE,FALSE,NA,NA,NA
b1020,phoH,GeneID:948010,0.14556181035935692,0.2572647786979515,0.4306717873131092,FALSE,FALSE,FALSE,NA,NA,NA
b1021,pgaD,GeneID:947503,6.374459247427772e-8,0.5139525623642306,0.7221622232031102,TRUE,FALSE,FALSE,152.622,NA,NA
b1022,pgaC,GeneID:945606,0.29672289408085895,0.793365122156115,0.9075405023421392,FALSE,FALSE,FALSE,NA,NA,NA
b1023,pgaB,GeneID:945604,0.3436723308769127,0.71708533205999625,1,FALSE,FALSE,FALSE,NA,NA,NA
b1024,pgaA,GeneID:945596,0.5572683099797264,0.3833686778583731,0.9592007071990792,FALSE,FALSE,FALSE,NA,NA,NA
b1025,dgcT,GeneID:945593,0.01906650777877226,0.13899923219258295,1,FALSE,FALSE,FALSE,NA,NA,NA
b1026,insF4,GeneID:945587,0.26225882733616973,NA,0.4273202018770225,FALSE,NA,FALSE,NA,NA,NA
b1029,ycdU,GeneID:945592,0.37176749553213984,0.4336916846780483,1,FALSE,FALSE,FALSE,NA,NA,NA
b1032,serX,GeneID:945714,0.6864300366663483,0.30033974771339605,1,FALSE,FALSE,FALSE,NA,NA,NA
b1033,ghrA,GeneID:946431,0.00512198312784583,0.8661916009726043,0.893896187397956,TRUE,FALSE,FALSE,NA,NA,NA
b1034,ycdX,GeneID:948477,0.02480228331667478,0.09983258565839252,1,FALSE,FALSE,FALSE,NA,NA,NA
b1035,ycdY,GeneID:945609,0.01242505825360516,0.1882220223100615,1,FALSE,FALSE,FALSE,NA,NA,NA
b1036,ycdZ,GeneID:945617,1.93544765803753e-6,1.2612912857400158e-5,0.3093418588207614,TRUE,TRUE,FALSE,279.2184,NA,NA
b1037,csgG,GeneID:945619,0.9034504759721635,NA,0.7450997061024306,FALSE,NA,FALSE,NA,NA,NA
